sample_index,question_id,question,ground_truth_answer,gold_doc_id,top_k,retrieved_doc_ids,retrieval_hit,generated_answer,citations,cited_doc_ids,invalid_citations,citation_hit
2,indonesian-4025247470210165851-0,Apa yang dimaksud dengan Sel ?,kumpulan materi paling sederhana yang dapat hidup dan merupakan unit penyusun semua makhluk hidup,571,10,"[571, 1534, 572, 406, 2066, 3305, 570, 2142, 1075, 802]",True,Sel adalah kumpulan materi paling sederhana yang dapat hidup dan merupakan unit penyusun semua makhluk hidup. Sel mampu melakukan semua aktivitas kehidupan dan sebagian besar reaksi kimia untuk mempertahankan kehidupan berlangsung di dalam sel. Seluruh tubuh semua organisme berasal dari hasil pembelahan satu sel.,[],[],[],False
3,indonesian--6722402021961072872-0,Dimanakah letak pulau Pulau Inaccessible?,Samudera Atlantik bagian selatan yang berjarak sepanjang 45 km dari sebelah barat daya Pulau Tristan da Cunha,3194,1,[3194],True,"Pulau Inaccessible berada di Samudera Atlantik bagian selatan, dengan luas mencapai 14km² (5.4sqmi) dan terletak sekitar 45 km dari sebelah barat daya Pulau Tristan da Cunha. [1]",[1],[3194],[],True
3,indonesian--6722402021961072872-0,Dimanakah letak pulau Pulau Inaccessible?,Samudera Atlantik bagian selatan yang berjarak sepanjang 45 km dari sebelah barat daya Pulau Tristan da Cunha,3194,3,"[3194, 2057, 2920]",True,"Pulau Inaccessible berada di Samudera Atlantik bagian selatan, di sekitar 45 km dari Pulau Tristan da Cunha. [1]",[1],[3194],[],True
3,indonesian--6722402021961072872-0,Dimanakah letak pulau Pulau Inaccessible?,Samudera Atlantik bagian selatan yang berjarak sepanjang 45 km dari sebelah barat daya Pulau Tristan da Cunha,3194,5,"[3194, 2057, 2920, 2465, 2186]",True,"Pulau Inaccessible berada di Samudera Atlantik, tepat di sebelah barat daya Pulau Tristan da Cunha. [1]",[1],[3194],[],True
3,indonesian--6722402021961072872-0,Dimanakah letak pulau Pulau Inaccessible?,Samudera Atlantik bagian selatan yang berjarak sepanjang 45 km dari sebelah barat daya Pulau Tristan da Cunha,3194,10,"[3194, 2057, 2920, 2465, 2186, 2679, 2921, 1475, 2062, 1214]",True,"Pasuruan, Jawa Timur [1].",[1],[3194],[],True
4,indonesian--6504473525437262398-0,apakah yang di maksud dengan forensik?,bidang ilmu pengetahuan yang digunakan untuk membantu proses penegakan keadilan melalui proses penerapan ilmu atau sains,2076,1,[2076],True,Forensik adalah bidang ilmu pengetahuan yang digunakan untuk membantu proses penegakan keadilan melalui proses penerapan ilmu atau sains.,[],[],[],False
4,indonesian--6504473525437262398-0,apakah yang di maksud dengan forensik?,bidang ilmu pengetahuan yang digunakan untuk membantu proses penegakan keadilan melalui proses penerapan ilmu atau sains,2076,3,"[2076, 939, 382]",True,Forensik adalah bidang ilmu pengetahuan yang menghimpuskan ilmu atau sains untuk membantu proses penegakan keadilan melalui proses penerapan ilmu atau sains.,[],[],[],False
4,indonesian--6504473525437262398-0,apakah yang di maksud dengan forensik?,bidang ilmu pengetahuan yang digunakan untuk membantu proses penegakan keadilan melalui proses penerapan ilmu atau sains,2076,5,"[2076, 939, 382, 278, 2989]",True,Forensik adalah bidang ilmu pengetahuan yang digunakan untuk membantu proses penegakan keadilan melalui proses penerapan ilmu atau sains.,[],[],[],False
4,indonesian--6504473525437262398-0,apakah yang di maksud dengan forensik?,bidang ilmu pengetahuan yang digunakan untuk membantu proses penegakan keadilan melalui proses penerapan ilmu atau sains,2076,10,"[2076, 939, 382, 278, 2989, 1550, 3330, 1807, 743, 460]",True,Forensik adalah bidang ilmu pengetahuan yang digunakan untuk membantu proses penegakan keadilan melalui proses penerapan ilmu atau sains. [1],[1],[2076],[],True
5,indonesian-1506795389343345817-0,Apakah nama gedung pencakar langit tertinggi di London?,The Shard,2865,1,[698],False,Menara London [1].,[1],[698],[],False
5,indonesian-1506795389343345817-0,Apakah nama gedung pencakar langit tertinggi di London?,The Shard,2865,3,"[698, 2865, 2522]",True,The Shard [2],[2],[2865],[],True
5,indonesian-1506795389343345817-0,Apakah nama gedung pencakar langit tertinggi di London?,The Shard,2865,5,"[698, 2865, 2522, 599, 2830]",True,The Shard [2],[2],[2865],[],True
5,indonesian-1506795389343345817-0,Apakah nama gedung pencakar langit tertinggi di London?,The Shard,2865,10,"[698, 2865, 2522, 599, 2830, 601, 3552, 600, 1849, 2373]",True,The Shard [2],[2],[2865],[],True
6,indonesian--252422591886771055-0,tahun berapakah Tugu Monas selesai dibangun?,12 Juli 1975,125,1,[767],False,"Tidak ada informasi tentang waktu pembuatan Tugu Monas dalam konteks yang diberikan. Oleh karena itu, jawaban tidak dapat ditentukan dengan pasti dari konteks yang diberikan.",[],[],[],False
6,indonesian--252422591886771055-0,tahun berapakah Tugu Monas selesai dibangun?,12 Juli 1975,125,3,"[767, 1055, 125]",True,1975 [3].,[3],[125],[],True
6,indonesian--252422591886771055-0,tahun berapakah Tugu Monas selesai dibangun?,12 Juli 1975,125,5,"[767, 1055, 125, 2100, 2250]",True,1975 [3].,[3],[125],[],True
6,indonesian--252422591886771055-0,tahun berapakah Tugu Monas selesai dibangun?,12 Juli 1975,125,10,"[767, 1055, 125, 2100, 2250, 2605, 2583, 2335, 269, 612]",True,1975 [3],[3],[125],[],True
7,indonesian-5604856949059136892-5,Kapan industri dirgantara dimulai di Indonesia?,16 Desember 1961,2656,1,[141],False,Era Kolonial [1].,[1],[141],[],False
7,indonesian-5604856949059136892-5,Kapan industri dirgantara dimulai di Indonesia?,16 Desember 1961,2656,3,"[141, 144, 234]",False,"Pertama kali industri dirgantara di Indonesia dimulai pada tahun 1923, di mana NPO di Bandung ditandatangani. [1]",[1],[141],[],False
7,indonesian-5604856949059136892-5,Kapan industri dirgantara dimulai di Indonesia?,16 Desember 1961,2656,5,"[141, 144, 234, 1461, 469]",False,1923 [1].,[1],[141],[],False
7,indonesian-5604856949059136892-5,Kapan industri dirgantara dimulai di Indonesia?,16 Desember 1961,2656,10,"[141, 144, 234, 1461, 469, 154, 120, 320, 2545, 3577]",False,1922 [4].,[4],[1461],[],False
8,indonesian-7887603045627796344-0,siapakah orang tua Leonardo DiCaprio?,Ayahnya bernama George berdarah Italia dan Ibunya bernama Irmelin,1605,1,[1605],True,Leonardo Wilhelm DiCaprio memiliki ayah Italia-Jerman dan ibu Italia-Jerman. Ayahnya bernama George dan ibunya bernama Irmelin.,[],[],[],False
8,indonesian-7887603045627796344-0,siapakah orang tua Leonardo DiCaprio?,Ayahnya bernama George berdarah Italia dan Ibunya bernama Irmelin,1605,3,"[1605, 1032, 3474]",True,Leonardo Wilhelm DiCaprio lahir pada bulan November dan memiliki ayah Italia-Jerman dan ibu Italia-Jerman.,[],[],[],False
8,indonesian-7887603045627796344-0,siapakah orang tua Leonardo DiCaprio?,Ayahnya bernama George berdarah Italia dan Ibunya bernama Irmelin,1605,5,"[1605, 1032, 3474, 1315, 1996]",True,"Leonardo Wilhelm DiCaprio lahir pada bulan November dan dididik oleh ayahnya, George, yang berasal dari daratan Italia dan ibunya, Irmelin, yang berasal dari daratan Jerman.",[],[],[],False
8,indonesian-7887603045627796344-0,siapakah orang tua Leonardo DiCaprio?,Ayahnya bernama George berdarah Italia dan Ibunya bernama Irmelin,1605,10,"[1605, 1032, 3474, 1315, 1996, 2828, 928, 3173, 2660, 1353]",True,Leonardo Wilhelm DiCaprio ( ) adalah seorang aktor Amerika Serikat berdarah Italia-Jerman. Ayahnya bernama George berdarah Italia dan Ibunya bernama Irmelin berasal dari Jerman.,[],[],[],False
9,indonesian--9191473147349914757-0,tahun berapakah Tugu Monas mulai dibangun?,17 Agustus 1961,125,1,[767],False,Tugu Monas mulailah dibangun pada tahun 1978.,[],[],[],False
9,indonesian--9191473147349914757-0,tahun berapakah Tugu Monas mulai dibangun?,17 Agustus 1961,125,3,"[767, 1055, 125]",True,1961 [3].,[3],[125],[],True
9,indonesian--9191473147349914757-0,tahun berapakah Tugu Monas mulai dibangun?,17 Agustus 1961,125,5,"[767, 1055, 125, 2605, 2250]",True,1961 [3].,[3],[125],[],True
9,indonesian--9191473147349914757-0,tahun berapakah Tugu Monas mulai dibangun?,17 Agustus 1961,125,10,"[767, 1055, 125, 2605, 2250, 2583, 2100, 1703, 269, 612]",True,1961 [1],[1],[767],[],False
10,indonesian-2739736324002361112040-ans-h-2,Suku apa yang tidak ingin disebut sebagai Batak?,Tapanuli,2389,1,[2389],True,Tapanuli [1],[1],[2389],[],True
10,indonesian-2739736324002361112040-ans-h-2,Suku apa yang tidak ingin disebut sebagai Batak?,Tapanuli,2389,3,"[2389, 2390, 3460]",True,Tapanuli. [1],[1],[2389],[],True
10,indonesian-2739736324002361112040-ans-h-2,Suku apa yang tidak ingin disebut sebagai Batak?,Tapanuli,2389,5,"[2389, 2390, 3460, 1760, 1158]",True,Tapanuli [1],[1],[2389],[],True
10,indonesian-2739736324002361112040-ans-h-2,Suku apa yang tidak ingin disebut sebagai Batak?,Tapanuli,2389,10,"[2389, 2390, 3460, 1760, 1158, 691, 1304, 259, 2992, 2616]",True,Angkola [1],[1],[2389],[],True
11,indonesian-8159142684773924499-1,siapakah penemu telepon genggam pertama?,Martin Cooper,27,1,[27],True,Martin Cooper [1].,[1],[27],[],True
11,indonesian-8159142684773924499-1,siapakah penemu telepon genggam pertama?,Martin Cooper,27,3,"[27, 54, 28]",True,Martin Cooper [1],[1],[27],[],True
11,indonesian-8159142684773924499-1,siapakah penemu telepon genggam pertama?,Martin Cooper,27,5,"[27, 54, 28, 1532, 29]",True,Martin Cooper [1],[1],[27],[],True
11,indonesian-8159142684773924499-1,siapakah penemu telepon genggam pertama?,Martin Cooper,27,10,"[27, 54, 28, 1532, 29, 3437, 1887, 2405, 649, 527]",True,Martin Cooper [1],[1],[27],[],True
12,indonesian--4813315519970552612-1,Apa yang dimaksud dengan Nagarakretagama ?,Negara dengan Tradisi (Agama) yang suci,179,1,[179],True,Nagarakretagama adalah sebuah karya bakal budaya Tiongkok yang mengandung unsur budaya Hindu-Buddhist. [1],[1],[179],[],True
12,indonesian--4813315519970552612-1,Apa yang dimaksud dengan Nagarakretagama ?,Negara dengan Tradisi (Agama) yang suci,179,3,"[179, 1051, 3472]",True,Nagarakretagama adalah judul dari kakawin yang merujuk kepada tradisi agamanya yang suci. Namanya sendiri tidak terdapat dalam kakawin tersebut.,[],[],[],False
12,indonesian--4813315519970552612-1,Apa yang dimaksud dengan Nagarakretagama ?,Negara dengan Tradisi (Agama) yang suci,179,5,"[179, 1051, 3472, 3448, 3516]",True,"Nagaragratagama adalah nama karya Kakawin yang merujuk kepada Nagarakretagama, sebuah buku naratorius Hindu yang ditulis oleh Prapanca. Namun, nama Nagarakretagama sendiri tidak ada dalam buku tersebut. [1]",[1],[179],[],True
12,indonesian--4813315519970552612-1,Apa yang dimaksud dengan Nagarakretagama ?,Negara dengan Tradisi (Agama) yang suci,179,10,"[179, 1051, 3472, 3448, 3516, 2710, 3011, 3166, 2393, 2869]",True,Nagaragawati [1].,[1],[179],[],True
13,indonesian--5162728312531813671-1,Apakah bahasa yang digunakan dalam karya Kalidasa?,Tamil,2716,1,[1428],False,Bahasa yang digunakan dalam karya Kalidasa adalah Bahasa Jawa. [1],[1],[1428],[],False
13,indonesian--5162728312531813671-1,Apakah bahasa yang digunakan dalam karya Kalidasa?,Tamil,2716,3,"[1428, 1378, 1389]",False,Tidak ada informasi tentang bahasa yang digunakan dalam karya Kalidasa dalam konteks yang diberikan. [3],[3],[1389],[],False
13,indonesian--5162728312531813671-1,Apakah bahasa yang digunakan dalam karya Kalidasa?,Tamil,2716,5,"[1428, 1378, 1389, 186, 617]",False,Tidak ada informasi tentang bahasa yang digunakan dalam karya Kalidasa dalam konteks yang diberikan. [3],[3],[1389],[],False
13,indonesian--5162728312531813671-1,Apakah bahasa yang digunakan dalam karya Kalidasa?,Tamil,2716,10,"[1428, 1378, 1389, 186, 617, 1760, 1164, 2514, 793, 787]",False,Bahasa yang digunakan dalam karya Kalidasa adalah bahasa Sanskerta. [1],[1],[1428],[],False
14,indonesian--611732172779810003-0,Berapa luas Masjid Al-Aqsha?,144.000 meter persegi,1093,1,[1554],False,"Al-Jami' al-Aqsha adalah bangunan berkubah abu-abu yang berada di kompleks Masjid Al-Aqsha, yaitu di bagian selatan. Kata Al-Jami' (اَلْجَامِعُ) makna 'masjid', yang berasal dari kata Al-Jumu'ah yang berarti 'mengumpulkan' (untuk salat jama'ah). [5] Selama berabad-abad, yang dimaksud dengan Masjid Al-Aqsha adalah keseluruhan kompleks tersebut, yang dianggap sebagai suatu wilayah yang suci. Perubahan penyebutan kemudian terjadi pada masa pemerintahan Kesultanan Utsmaniyah, di mana wilayah kompleks secara keseluruhan disebut sebagai Al-Haram asy-Syarif; sedangkan bangunan yang terletak di bagian selatan disebut sebagai Al-Jami' al-Aqsha, yaitu tempat Umar bin Khaththab pertama kali mendirikannya. [6]","[5, 6]",[],"[5, 6]",False
14,indonesian--611732172779810003-0,Berapa luas Masjid Al-Aqsha?,144.000 meter persegi,1093,3,"[1554, 237, 1647]",False,"54,4 x 32,2 meter [2].",[2],[237],[],False
14,indonesian--611732172779810003-0,Berapa luas Masjid Al-Aqsha?,144.000 meter persegi,1093,5,"[1554, 237, 1647, 1094, 2373]",False,"1. Pasuruan, Jawa Timur [1].",[1],[1554],[],False
14,indonesian--611732172779810003-0,Berapa luas Masjid Al-Aqsha?,144.000 meter persegi,1093,10,"[1554, 237, 1647, 1094, 2373, 1093, 2484, 1849, 2051, 439]",True,144.000 meter persegi,[],[],[],False
15,indonesian-2901290337667878427-0,Siapa pencipta wiracarita Mahabharata?,Begawan Byasa,16,1,[16],True,Begawan Byasa atau Vyasa.,[],[],[],False
15,indonesian-2901290337667878427-0,Siapa pencipta wiracarita Mahabharata?,Begawan Byasa,16,3,"[16, 18, 15]",True,Begawan Byasa atau Vyasa.,[],[],[],False
15,indonesian-2901290337667878427-0,Siapa pencipta wiracarita Mahabharata?,Begawan Byasa,16,5,"[16, 18, 15, 1580, 979]",True,Ki Trunadipura [1].,[1],[16],[],True
15,indonesian-2901290337667878427-0,Siapa pencipta wiracarita Mahabharata?,Begawan Byasa,16,10,"[16, 18, 15, 1580, 979, 2532, 3205, 1310, 494, 147]",True,"Pasuruan, Jawa Timur [1].",[1],[16],[],True
16,indonesian--3856673029772323925-0,Apakah bahan bakar nuklir?,unsur berat fissil yang dapat menghasilkan reaksi nuklir berantai di dalam reaktor nuklir,794,1,[794],True,Bahan bakar nuklir adalah unsur berat fissil yang digunakan dalam reaktor nuklir untuk menghasilkan energi nuklir. [1],[1],[794],[],True
16,indonesian--3856673029772323925-0,Apakah bahan bakar nuklir?,unsur berat fissil yang dapat menghasilkan reaksi nuklir berantai di dalam reaktor nuklir,794,3,"[794, 712, 2982]",True,Bahan bakar nuklir adalah unsur berat fissil yang digunakan dalam reaktor nuklir untuk menghasilkan energi nuklir. [2],[2],[712],[],False
16,indonesian--3856673029772323925-0,Apakah bahan bakar nuklir?,unsur berat fissil yang dapat menghasilkan reaksi nuklir berantai di dalam reaktor nuklir,794,5,"[794, 712, 2982, 2981, 2256]",True,Bahan bakar nuklir adalah unsur berat fissil yang dapat menghasilkan reaksi nuklir berantai di dalam reaktor nuklir. [1],[1],[794],[],True
16,indonesian--3856673029772323925-0,Apakah bahan bakar nuklir?,unsur berat fissil yang dapat menghasilkan reaksi nuklir berantai di dalam reaktor nuklir,794,10,"[794, 712, 2982, 2981, 2256, 2166, 1524, 1245, 711, 2124]",True,"Ya, bahan bakar nuklir adalah unsur berat fissil yang dapat menghasilkan reaksi nuklir berantai di dalam reaktor nuklir. [1]",[1],[794],[],True
17,indonesian--6432241245886324847-0,Kapan Zaman Nanboku-cho dimulai?,1336,1147,1,[1147],True,Zaman Nanboku-cho dimulai pada tahun 1336.,[],[],[],False
17,indonesian--6432241245886324847-0,Kapan Zaman Nanboku-cho dimulai?,1336,1147,3,"[1147, 3401, 2149]",True,Zaman Nanboku-cho dimulai dari tahun 1336.,[],[],[],False
17,indonesian--6432241245886324847-0,Kapan Zaman Nanboku-cho dimulai?,1336,1147,5,"[1147, 3401, 2149, 1068, 576]",True,Zaman Nanboku-cho dimulai dari tahun 1336.,[],[],[],False
17,indonesian--6432241245886324847-0,Kapan Zaman Nanboku-cho dimulai?,1336,1147,10,"[1147, 3401, 2149, 1068, 576, 1143, 577, 42, 2573, 1990]",True,Zaman Nanboku-cho dimulai pada tahun 1336.,[],[],[],False
18,indonesian-9152187318190232879-0,kapankah hiroshima dan nagasaki terkena Bom atom?,Agustus 1945,2863,1,[2863],True,"Hiroshima dan Nagasaki terjadi pada tanggal 6 dan 9 Agustus 1945, tepat satu hari sebelum dan sesudah keputusan yang disebutkan di atas.",[],[],[],False
18,indonesian-9152187318190232879-0,kapankah hiroshima dan nagasaki terkena Bom atom?,Agustus 1945,2863,3,"[2863, 2864, 1884]",True,"Ya, Hiroshima dan Nagasaki terkena bom atom pada Agustus 1945. [1]",[1],[2863],[],True
18,indonesian-9152187318190232879-0,kapankah hiroshima dan nagasaki terkena Bom atom?,Agustus 1945,2863,5,"[2863, 2864, 1884, 991, 2472]",True,"Pukul 11:01, jeda di antara awan di langit Nagasaki memungkinkan perwira pengebom Bockscar, Kapten Kermit Beahan, melihat target bom sesuai rencana. Bom Fat Man yang mengandung inti plutonium berbobot 6.4kg (14lb) dijatuhkan di lembah industri Nagasaki di . Bom meledak 47 detik kemudian di ketinggian 1,650±33ft (503±10m) di atas lapangan tenis,[189] separuh jalan antara Pabrik Baja dan Senjata Mitsubishi di selatan dan Arsenal Nagasaki di utara. Ledakan terjadi hampir 3km (1.9mi) di sebelah barat laut target awal. Ledakan tersebut dibatasi oleh Lembah Urakami, dan sebagian besar kota dilindungi oleh lembah di sekitarnya.[190] Ledakan bom setara dengan 21±2kt (87.9±8.4TJ)[1","[189, 190]",[],"[189, 190]",False
18,indonesian-9152187318190232879-0,kapankah hiroshima dan nagasaki terkena Bom atom?,Agustus 1945,2863,10,"[2863, 2864, 1884, 991, 2472, 1581, 2982, 3342, 2000, 2166]",True,"Pasuruan, Jawa Timur [1].",[1],[2863],[],True
19,indonesian-35481914026694016-0,Apa pengertian dari IUCN ?,organisasi internasional yang didedikasikan untuk konservasi sumber daya alam,3128,1,[3128],True,IUCN adalah sebuah organisasi internasional yang didedikasikan untuk konservasi sumber daya alam.,[],[],[],False
19,indonesian-35481914026694016-0,Apa pengertian dari IUCN ?,organisasi internasional yang didedikasikan untuk konservasi sumber daya alam,3128,3,"[3128, 2073, 3527]",True,IUCN adalah sebuah organisasi internasional yang didedikasikan untuk konservasi sumber daya alam. [1],[1],[3128],[],True
19,indonesian-35481914026694016-0,Apa pengertian dari IUCN ?,organisasi internasional yang didedikasikan untuk konservasi sumber daya alam,3128,5,"[3128, 2073, 3527, 1412, 1008]",True,IUCN adalah sebuah organisasi internasional yang didedikasikan untuk konservasi sumber daya alam. [1],[1],[3128],[],True
19,indonesian-35481914026694016-0,Apa pengertian dari IUCN ?,organisasi internasional yang didedikasikan untuk konservasi sumber daya alam,3128,10,"[3128, 2073, 3527, 1412, 1008, 3295, 1844, 351, 3516, 1251]",True,IUCN adalah sebuah organisasi internasional yang didedikasikan untuk konservasi sumber daya alam. [1],[1],[3128],[],True
20,indonesian-8372465300300747789-0,Apa warna bendera Skotlandia ?,putih berlatar belakang biru,464,1,[464],True,Putih [1].,[1],[464],[],True
20,indonesian-8372465300300747789-0,Apa warna bendera Skotlandia ?,putih berlatar belakang biru,464,3,"[464, 2008, 775]",True,Skotlandia menggunakan warna putih berlatar belakang biru untuk bendera mereka. [1],[1],[464],[],True
20,indonesian-8372465300300747789-0,Apa warna bendera Skotlandia ?,putih berlatar belakang biru,464,5,"[464, 2008, 775, 2304, 2506]",True,Skotlandia menggunakan warna putih dan biru untuk benderanya. [1],[1],[464],[],True
20,indonesian-8372465300300747789-0,Apa warna bendera Skotlandia ?,putih berlatar belakang biru,464,10,"[464, 2008, 775, 2304, 2506, 2482, 2007, 2838, 3383, 3332]",True,Skotlandia menggunakan warna putih dan biru untuk benderanya. [1],[1],[464],[],True
21,indonesian--5607859977680592983-3,Siapa yang membangun Gereja Santa Perawan Maria Lourdes Promasan?,"seluruh umat Katolik di Promasan, mulai dari orang dewasa hingga anak-anak",2298,1,[2299],False,Gereja Santa Perawan Maria Lourdes Promasan dimulai oleh para pengembang di tahun 1940.,[],[],[],False
21,indonesian--5607859977680592983-3,Siapa yang membangun Gereja Santa Perawan Maria Lourdes Promasan?,"seluruh umat Katolik di Promasan, mulai dari orang dewasa hingga anak-anak",2298,3,"[2299, 913, 2926]",False,Gereja Santa Perawan Maria Lourdes Promasan dimulai dibangun pada 18 Desember 1940. [1],[1],[2299],[],False
21,indonesian--5607859977680592983-3,Siapa yang membangun Gereja Santa Perawan Maria Lourdes Promasan?,"seluruh umat Katolik di Promasan, mulai dari orang dewasa hingga anak-anak",2298,5,"[2299, 913, 2926, 2156, 2707]",False,Gereja Santa Perawan Maria Lourdes Promasan didirikan oleh Romo Jan Wolters CM pada tahun 1936. [3],[3],[2926],[],False
21,indonesian--5607859977680592983-3,Siapa yang membangun Gereja Santa Perawan Maria Lourdes Promasan?,"seluruh umat Katolik di Promasan, mulai dari orang dewasa hingga anak-anak",2298,10,"[2299, 913, 2926, 2156, 2707, 2645, 1060, 2651, 2287, 2298]",True,Prawiro Semito [1],[1],[2299],[],False
22,indonesian--6248724470980757655-0,Apa itu berhala ?,"objek berbentuk makhluk hidup atau benda yang didewakan, disembah, dipuja dan dibuat oleh tangan manusia",568,1,[1594],False,Berhala adalah lambang negara Rusia yang terdiri dari elang berkepala dua dan gambar orang naik kuda tengah membunuh ular atau naga.,[],[],[],False
22,indonesian--6248724470980757655-0,Apa itu berhala ?,"objek berbentuk makhluk hidup atau benda yang didewakan, disembah, dipuja dan dibuat oleh tangan manusia",568,3,"[1594, 2532, 1240]",False,Bintang Daud atau Perisai Daud [3].,[3],[1240],[],False
22,indonesian--6248724470980757655-0,Apa itu berhala ?,"objek berbentuk makhluk hidup atau benda yang didewakan, disembah, dipuja dan dibuat oleh tangan manusia",568,5,"[1594, 2532, 1240, 3460, 459]",False,Bintang Daud [3],[3],[1240],[],False
22,indonesian--6248724470980757655-0,Apa itu berhala ?,"objek berbentuk makhluk hidup atau benda yang didewakan, disembah, dipuja dan dibuat oleh tangan manusia",568,10,"[1594, 2532, 1240, 3460, 459, 2150, 3162, 455, 3448, 2455]",False,"Berhala adalah lambang yang sudah sejak dahulu digunakan sebagai tanda jati diri Yahudi, terutama dalam buku-buku cetak semenjak abad ke-16.",[],[],[],False
23,indonesian-3921630737300632831-0,Apakah pengertian dari fiksi ?,cerita atau latar yang berasal dari imajinasi,652,1,[652],True,"Fiksi adalah cerita atau latar yang berasal dari imajinasi—dengan kata lain, tidak secara ketat berdasarkan sejarah atau fakta.",[],[],[],False
23,indonesian-3921630737300632831-0,Apakah pengertian dari fiksi ?,cerita atau latar yang berasal dari imajinasi,652,3,"[652, 1356, 3317]",True,"Fiksi adalah cerita atau latar yang berasal dari imajinasi—dengan kata lain, tidak secara ketat berdasarkan sejarah atau fakta.",[],[],[],False
23,indonesian-3921630737300632831-0,Apakah pengertian dari fiksi ?,cerita atau latar yang berasal dari imajinasi,652,5,"[652, 1356, 3317, 3017, 2138]",True,"Fiksi adalah cerita atau latar yang berasal dari imajinasi—dengan kata lain, tidak secara ketat berdasarkan sejarah atau fakta. [1]",[1],[652],[],True
23,indonesian-3921630737300632831-0,Apakah pengertian dari fiksi ?,cerita atau latar yang berasal dari imajinasi,652,10,"[652, 1356, 3317, 3017, 2138, 2327, 2214, 3542, 244, 2798]",True,"Fiksi adalah cerita atau latar yang berasal dari imajinasi—dengan kata lain, tidak secara ketat berdasarkan sejarah atau fakta. [1]",[1],[652],[],True
24,indonesian-3839110379385706564-6,Siapakah Moeffreni Moe’min?,mantan Daidanco PETA dari Daidan I Jakarta,3251,1,[2504],False,Dr. Moewardi [1].,[1],[2504],[],False
24,indonesian-3839110379385706564-6,Siapakah Moeffreni Moe’min?,mantan Daidanco PETA dari Daidan I Jakarta,3251,3,"[2504, 1381, 1915]",False,"Moeffreni Moe'min adalah seorang tokoh pejuang terkemuka pada zaman revolusi kemerdekaan Indonesia. Dia lahir di Rangkasbitung, Banten pada 12 Februari 1921 dan meninggal pada 27 Juni 1996.",[],[],[],False
